NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-10-08;Altres;N/A;--;11;12;0;0;53;18;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Entre 15 i 64;No;29;724;0;0;120;20;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Entre 15 i 64;Si;0;4;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Entre 65 i 74;No;2;91;0;0;55;12;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Entre 65 i 74;Si;0;0;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Majors de 74;No;16;199;0;1;110;6;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Majors de 74;Si;2;33;0;0;26;0;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Menors de 15;No;6;214;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-08;Dona;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Entre 15 i 64;No;40;553;0;2;222;55;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Entre 15 i 64;Si;0;4;0;0;8;0;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Entre 65 i 74;No;6;118;0;2;118;35;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Entre 65 i 74;Si;0;3;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Majors de 74;No;3;163;0;0;121;11;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Majors de 74;Si;0;12;0;0;14;0;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Menors de 15;No;8;284;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-08;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-07;Altres;N/A;--;17;123;4;0;45;18;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Entre 15 i 64;No;353;5880;16;5;131;24;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Entre 15 i 64;Si;1;11;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Entre 65 i 74;No;19;532;3;1;57;14;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Entre 65 i 74;Si;4;19;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Majors de 74;No;29;797;10;1;109;4;1
CATALUNYA;CATALUNYA;2020-10-07;Dona;Majors de 74;Si;20;235;1;0;24;0;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Menors de 15;No;60;1990;2;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-07;Dona;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-07;Home;Entre 15 i 64;No;327;4368;18;2;231;61;1
CATALUNYA;CATALUNYA;2020-10-07;Home;Entre 15 i 64;Si;0;22;2;0;6;0;1
CATALUNYA;CATALUNYA;2020-10-07;Home;Entre 65 i 74;No;26;542;11;3;112;31;0
CATALUNYA;CATALUNYA;2020-10-07;Home;Entre 65 i 74;Si;1;12;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-10-07;Home;Majors de 74;No;22;607;9;1;116;13;1
CATALUNYA;CATALUNYA;2020-10-07;Home;Majors de 74;Si;4;79;2;0;12;0;0
CATALUNYA;CATALUNYA;2020-10-07;Home;Menors de 15;No;76;2207;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-07;Home;Menors de 15;Si;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-06;Altres;N/A;--;38;610;1;2;46;19;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Entre 15 i 64;No;500;9287;19;4;124;26;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Entre 15 i 64;Si;5;45;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Entre 65 i 74;No;39;958;5;2;47;11;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Entre 65 i 74;Si;2;18;0;0;3;1;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Majors de 74;No;53;1187;5;2;114;5;3
CATALUNYA;CATALUNYA;2020-10-06;Dona;Majors de 74;Si;9;256;2;0;23;0;3
CATALUNYA;CATALUNYA;2020-10-06;Dona;Menors de 15;No;127;3617;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-06;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Entre 15 i 64;No;515;6994;21;3;230;64;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Entre 15 i 64;Si;6;58;0;0;6;0;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Entre 65 i 74;No;39;960;14;3;102;31;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Entre 65 i 74;Si;0;25;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Majors de 74;No;51;923;10;0;124;13;3
CATALUNYA;CATALUNYA;2020-10-06;Home;Majors de 74;Si;2;101;1;0;12;0;3
CATALUNYA;CATALUNYA;2020-10-06;Home;Menors de 15;No;116;4018;1;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-06;Home;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-05;Altres;N/A;--;33;303;6;1;43;17;0
CATALUNYA;CATALUNYA;2020-10-05;Dona;Entre 15 i 64;No;654;7423;12;5;122;24;1
CATALUNYA;CATALUNYA;2020-10-05;Dona;Entre 15 i 64;Si;2;37;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-05;Dona;Entre 65 i 74;No;49;769;1;0;51;13;0
CATALUNYA;CATALUNYA;2020-10-05;Dona;Entre 65 i 74;Si;1;18;0;1;4;1;0
CATALUNYA;CATALUNYA;2020-10-05;Dona;Majors de 74;No;60;929;6;0;124;7;3
CATALUNYA;CATALUNYA;2020-10-05;Dona;Majors de 74;Si;25;314;3;0;25;0;3
CATALUNYA;CATALUNYA;2020-10-05;Dona;Menors de 15;No;122;2573;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-05;Dona;Menors de 15;Si;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Entre 15 i 64;No;621;5975;22;6;230;65;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Entre 15 i 64;Si;3;74;0;0;6;0;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Entre 65 i 74;No;51;766;4;2;105;33;1
CATALUNYA;CATALUNYA;2020-10-05;Home;Entre 65 i 74;Si;0;40;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Majors de 74;No;40;779;9;2;121;14;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Majors de 74;Si;8;94;2;0;15;0;3
CATALUNYA;CATALUNYA;2020-10-05;Home;Menors de 15;No;105;2970;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-05;Home;Menors de 15;Si;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-04;Altres;N/A;--;4;103;4;2;40;16;0
CATALUNYA;CATALUNYA;2020-10-04;Dona;Entre 15 i 64;No;208;1989;17;3;118;23;1
CATALUNYA;CATALUNYA;2020-10-04;Dona;Entre 15 i 64;Si;0;5;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-04;Dona;Entre 65 i 74;No;11;209;1;0;51;13;0
CATALUNYA;CATALUNYA;2020-10-04;Dona;Entre 65 i 74;Si;0;10;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-04;Dona;Majors de 74;No;15;300;8;0;121;7;1
CATALUNYA;CATALUNYA;2020-10-04;Dona;Majors de 74;Si;2;140;0;0;27;0;4
CATALUNYA;CATALUNYA;2020-10-04;Dona;Menors de 15;No;26;675;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-04;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-04;Home;Entre 15 i 64;No;197;1586;8;3;223;61;0
CATALUNYA;CATALUNYA;2020-10-04;Home;Entre 15 i 64;Si;1;11;0;0;6;0;0
CATALUNYA;CATALUNYA;2020-10-04;Home;Entre 65 i 74;No;17;237;4;1;101;31;2
CATALUNYA;CATALUNYA;2020-10-04;Home;Entre 65 i 74;Si;0;9;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-04;Home;Majors de 74;No;20;297;5;1;121;13;2
CATALUNYA;CATALUNYA;2020-10-04;Home;Majors de 74;Si;1;40;3;0;13;0;2
CATALUNYA;CATALUNYA;2020-10-04;Home;Menors de 15;No;26;769;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-04;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-03;Altres;N/A;--;17;214;6;0;36;15;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Entre 15 i 64;No;222;3103;9;4;106;20;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Entre 15 i 64;Si;0;7;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Entre 65 i 74;No;21;314;6;1;50;13;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Entre 65 i 74;Si;0;10;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Majors de 74;No;17;437;9;1;115;7;1
CATALUNYA;CATALUNYA;2020-10-03;Dona;Majors de 74;Si;1;111;4;0;28;0;2
CATALUNYA;CATALUNYA;2020-10-03;Dona;Menors de 15;No;37;955;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-03;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Entre 15 i 64;No;223;2396;19;1;211;63;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Entre 15 i 64;Si;0;25;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Entre 65 i 74;No;25;377;1;0;98;32;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Entre 65 i 74;Si;0;16;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Majors de 74;No;22;375;4;0;115;13;4
CATALUNYA;CATALUNYA;2020-10-03;Home;Majors de 74;Si;1;50;1;0;11;0;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Menors de 15;No;51;1194;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-03;Home;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-02;Altres;N/A;--;23;312;8;3;36;16;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Entre 15 i 64;No;593;8899;29;2;110;18;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Entre 15 i 64;Si;1;72;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Entre 65 i 74;No;46;823;4;1;46;12;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Entre 65 i 74;Si;6;62;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Majors de 74;No;58;1039;9;0;110;6;2
CATALUNYA;CATALUNYA;2020-10-02;Dona;Majors de 74;Si;71;801;3;0;24;0;3
CATALUNYA;CATALUNYA;2020-10-02;Dona;Menors de 15;No;130;3385;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-02;Dona;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Entre 15 i 64;No;524;6599;29;7;206;60;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Entre 15 i 64;Si;6;97;1;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Entre 65 i 74;No;42;822;7;3;100;33;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Entre 65 i 74;Si;7;72;2;0;6;0;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Majors de 74;No;40;826;15;3;114;12;4
CATALUNYA;CATALUNYA;2020-10-02;Home;Majors de 74;Si;19;274;2;0;10;0;2
CATALUNYA;CATALUNYA;2020-10-02;Home;Menors de 15;No;129;3966;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-02;Home;Menors de 15;Si;0;5;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-01;Altres;N/A;--;25;319;3;3;38;14;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Entre 15 i 64;No;535;7495;13;3;102;17;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Entre 15 i 64;Si;0;23;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Entre 65 i 74;No;49;645;5;1;50;12;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Entre 65 i 74;Si;1;21;2;0;4;0;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Majors de 74;No;35;701;5;1;112;7;1
CATALUNYA;CATALUNYA;2020-10-01;Dona;Majors de 74;Si;6;227;6;0;23;0;2
CATALUNYA;CATALUNYA;2020-10-01;Dona;Menors de 15;No;132;3086;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-10-01;Dona;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-10-01;Home;Entre 15 i 64;No;494;5495;26;4;204;60;0
CATALUNYA;CATALUNYA;2020-10-01;Home;Entre 15 i 64;Si;0;32;1;0;5;0;0
CATALUNYA;CATALUNYA;2020-10-01;Home;Entre 65 i 74;No;41;642;9;3;107;34;3
CATALUNYA;CATALUNYA;2020-10-01;Home;Entre 65 i 74;Si;0;21;0;1;4;1;0
CATALUNYA;CATALUNYA;2020-10-01;Home;Majors de 74;No;26;614;11;3;119;11;2
CATALUNYA;CATALUNYA;2020-10-01;Home;Majors de 74;Si;2;77;1;0;13;0;3
CATALUNYA;CATALUNYA;2020-10-01;Home;Menors de 15;No;143;3579;0;0;2;1;0
CATALUNYA;CATALUNYA;2020-10-01;Home;Menors de 15;Si;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-30;Altres;N/A;--;34;376;7;2;40;14;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Entre 15 i 64;No;496;8594;19;3;103;17;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Entre 15 i 64;Si;0;79;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Entre 65 i 74;No;38;796;1;1;51;10;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Entre 65 i 74;Si;3;19;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Majors de 74;No;41;939;13;3;113;7;6
CATALUNYA;CATALUNYA;2020-09-30;Dona;Majors de 74;Si;27;213;0;0;21;0;2
CATALUNYA;CATALUNYA;2020-09-30;Dona;Menors de 15;No;99;3198;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-30;Dona;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-30;Home;Entre 15 i 64;No;464;6282;23;4;207;57;1
