NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-29;2020-10-05;--;;;0.0000;159;0.0000;1889;5.1502;41;11;0
CATALUNYA;CATALUNYA;2020-09-29;2020-10-05;Si;;;453.2141;294;6380.4532;4139;8.7884;34;2;36
CATALUNYA;CATALUNYA;2020-09-29;2020-10-05;No;256.373;1.2691;111.7261;8499;1801.8685;137068;6.4357;466;97;51
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;No;250.22;1.25929;108.4922;8253;1784.6081;135755;6.2016;479;93;53
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;--;;;0.0000;155;0.0000;1889;4.7236;44;12;0
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;Si;;;448.5894;291;6967.7817;4520;7.7218;31;1;34
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;Si;;;445.5063;289;6832.1257;4432;7.7891;33;1;34
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;No;244.843;1.2355;106.9542;8136;1777.8906;135244;6.1109;480;95;59
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;--;;;0.0000;160;0.0000;1837;4.9641;43;10;0
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;--;;;0.0000;150;0.0000;1711;4.9822;40;10;0
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;Si;;;450.1310;292;6949.2831;4508;7.6725;34;1;33
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;No;230.635;1.17228;106.0077;8064;1769.2801;134589;6.0419;493;99;58
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;No;209.819;1.08659;100.9203;7677;1724.6501;131194;5.8680;480;95;61
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;--;;;0.0000;150;0.0000;1655;5.0920;35;7;0
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;Si;;;308.3089;200;5842.4541;3790;6.2161;34;1;31
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;No;193.612;1.01524;93.4403;7108;1633.3920;124252;5.6572;473;88;63
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;--;;;0.0000;136;0.0000;1505;4.5884;38;4;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;Si;;;320.6412;208;6186.2185;4013;5.8463;31;0;33
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;--;;;0.0000;121;0.0000;1362;4.5556;36;2;0
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;Si;;;268.2287;174;6250.9634;4055;4.8396;40;0;31
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;No;186.401;0.979859;92.0994;7006;1608.9408;122392;5.6386;456;82;57
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;No;182.158;0.95531;90.2853;6868;1574.9983;119810;5.6797;443;87;49
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;--;;;0.0000;113;0.0000;1330;4.4275;34;5;0
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;Si;;;169.5699;110;6146.1384;3987;2.7623;44;1;25
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;No;180.223;0.954104;90.2064;6862;1552.9397;118132;5.7725;437;82;51
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;--;;;0.0000;109;0.0000;1279;4.1237;28;3;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;Si;;;163.4037;106;5679.0504;3684;2.9501;44;1;26
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;--;;;0.0000;100;0.0000;1261;3.7007;30;5;0
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;Si;;;172.6529;112;5672.8842;3680;3.2737;45;1;21
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;No;181.825;0.961717;91.2187;6939;1562.3784;118850;5.8016;450;84;45
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;--;;;0.0000;99;0.0000;1259;3.7037;32;5;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;Si;;;192.6930;125;5734.5460;3720;3.4193;42;1;25
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;No;189.159;0.997874;90.7323;6902;1573.6312;119706;5.7527;444;80;48
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;No;208.806;1.15452;92.1783;7012;1552.2298;118078;5.9697;460;78;46
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;--;;;0.0000;100;0.0000;1193;4.1667;35;5;0
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;Si;;;221.9824;144;5857.8695;3800;4.1027;37;1;23
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;--;;;0.0000;109;0.0000;1187;4.9700;34;6;0
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;Si;;;220.4408;143;5737.6291;3722;4.4269;34;1;17
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;No;230.104;1.23914;97.2657;7399;1592.1273;121113;6.1329;469;79;49
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;--;;;0.0000;113;0.0000;1076;5.7602;35;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;Si;;;285.1857;185;5725.2967;3714;5.7056;31;2;15
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;No;238.205;1.29273;98.1334;7465;1511.1097;114950;6.5537;476;78;56
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;No;239.498;1.30599;100.3944;7637;1453.8729;110596;7.0066;496;64;61
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;--;;;0.0000;116;0.0000;1019;6.0120;32;4;0
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;Si;;;271.3118;176;5429.3201;3522;6.4020;29;1;16
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;Si;;;300.6012;195;5964.2361;3869;6.0401;30;1;19
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;No;237.457;1.31322;98.6855;7507;1393.5337;106006;7.1305;508;65;60
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;--;;;0.0000;119;0.0000;952;7.4034;40;4;0
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;--;;;0.0000;124;0.0000;946;8.0087;40;4;0
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;Si;;;362.2629;235;6015.1071;3902;7.0365;25;1;19
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.82;1.28709;97.8441;7443;1364.4289;103792;7.1959;505;64;61
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;225.279;1.25444;98.8301;7518;1329.5662;101140;7.4703;505;65;58
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;132;0.0000;937;8.8621;36;5;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;420.8416;273;5979.6516;3879;7.9836;28;1;15
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;374.5953;243;5111.7619;3316;8.1675;29;1;16
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;193.994;1.07992;88.6815;6746;1142.4095;86903;7.6774;471;65;57
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;115;0.0000;831;8.7331;32;5;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;110;0.0000;773;9.2593;33;6;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;369.9707;240;5444.7356;3532;7.3920;32;1;18
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.871;1.00764;88.4318;6727;1138.4657;86603;7.9544;476;67;56
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;167.235;0.950081;86.1312;6552;1108.1778;84299;7.9452;472;71;55
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;115;0.0000;849;8.4643;33;6;0
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;311.3920;202;5749.9614;3730;5.8041;27;0;18
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;162.216;0.93824;82.9894;6313;1088.7352;82820;7.7641;467;70;53
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;120;0.0000;862;8.7782;39;7;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;320.6412;208;6200.0924;4022;5.2139;24;0;19
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;126;0.0000;903;8.0408;33;7;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;275.9364;179;5706.7982;3702;5.2796;28;0;12
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.365;0.931288;82.1349;6248;1083.1876;82398;7.7721;471;74;53
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;No;166.423;0.960674;81.4908;6199;1079.5199;82119;7.8252;470;71;49
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;132;0.0000;901;8.1633;34;5;0
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;Si;;;212.7331;138;5654.3856;3668;4.0630;34;0;18
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;No;171.071;0.989836;80.7546;6143;1088.0516;82768;7.7153;476;79;54
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;--;;;0.0000;130;0.0000;878;7.7998;37;4;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;Si;;;135.6559;88;5518.7297;3580;3.2425;35;1;18
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;--;;;0.0000;141;0.0000;1037;7.0936;39;5;0
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;Si;;;147.9882;96;7003.2372;4543;2.7728;36;1;18
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;No;186.923;1.02547;90.9557;6919;1250.7309;95143;7.6492;491;77;58
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;--;;;0.0000;144;0.0000;1118;6.3869;37;3;0
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;Si;;;166.4868;108;7447.2020;4831;3.1697;36;1;24
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;No;185.822;1.02076;90.0750;6852;1242.7119;94533;7.4482;466;74;52
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;No;187.148;1.01283;89.8909;6838;1271.1463;96696;7.2138;467;77;47
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;--;;;0.0000;136;0.0000;1137;5.7245;33;3;0
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;Si;;;228.1486;148;7165.0994;4648;3.7138;38;1;25
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;--;;;0.0000;138;0.0000;1212;5.7886;32;1;0
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;Si;;;238.9394;155;7178.9733;4657;3.8462;40;1;28
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;No;187.645;1.00586;89.9041;6839;1289.0640;98059;7.1665;457;82;50
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;--;;;0.0000;125;0.0000;1078;5.6818;31;1;0
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;Si;;;235.8563;153;7308.4630;4741;3.6004;39;1;27
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;No;189.038;1.00001;90.0618;6851;1294.4669;98470;7.2734;453;81;50
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;No;189.213;0.995258;91.7445;6979;1303.4455;99153;7.2883;444;81;52
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;--;;;0.0000;120;0.0000;1077;5.2083;26;2;0
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;Si;;;226.6070;147;7311.5461;4743;3.4409;36;1;26
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;Si;;;220.4408;143;7345.4601;4765;3.1874;32;0;28
